Case_ID,Event_Name,Location,Date,Failure_Type,Clay_Type,Clay_Mineral_Primary,Plasticity_Index,Liquid_Limit_percent,Natural_Water_Content_percent,Undrained_Shear_Strength_kPa,Sensitivity,Depth_to_Failure_Surface_m,Slip_Surface_Depth_Range_m,Slope_Angle_degrees,Groundwater_Depth_m,Pore_Pressure_Ratio,Structure_Type,Foundation_Type,Foundation_Depth_m,Failure_Trigger,Displacement_m,Tilt_degrees,Structure_Damage_Level,Preconsolidation_Stress_kPa,OCR,Compression_Index,Consolidation_Settlement_cm,Progressive_Failure,Remediation_Method,Remarks
CF012,Landslide_Complex,Yunnan_Mountain,2020-04-25,Slope_Failure,Highly_Sensitive_Clay,Smectite,48.5,78.8,55.8,19.5,7.2,12.0,10.0-20.0,38.5,1.8,0.70,Village_Settlement,Shallow_Foundation,1.5,Earthquake,25.5,NA,Complete,242.0,4.6,0.62,NA,Yes,Relocation,Retrogressive failure mechanism
CF013,Tunnel_Deformation,Wuhan_Subway,2020-09-10,Squeezing_Ground,Soft_Clay,Montmorillonite,40.2,65.5,46.2,26.5,4.8,9.0,7.5-13.5,NA,2.5,0.60,NATM_Tunnel,Sequential_Excavation,15.5,Time_Dependent,1.5,NA,Moderate,198.0,3.6,0.48,NA,Yes,Additional_Support,Creep behavior observed
CF014,Building_Tilt,Suzhou_Historic,2020-12-03,Differential_Settlement,Compressible_Clay,Illite-Montmorillonite,32.5,58.2,40.5,38.5,3.5,NA,NA,NA,5.5,0.48,Historic_Temple,Timber_Piles,6.0,Groundwater_Lowering,0.62,3.8,Severe,188.0,3.1,0.40,78.0,No,Recharge_Wells,Heritage structure at risk
CF015,Highway_Failure,Guizhou_Mountain,2021-02-18,Slope_Failure,Stiff_Fissured_Clay,Illite,24.5,50.8,35.8,52.5,2.6,7.5,6.5-12.0,26.5,7.2,0.40,Highway_Cut,NA,NA,Weathering,10.5,NA,Moderate,168.0,2.4,0.30,NA,Yes,Shotcrete,Fissure propagation noted
CF016,Deep_Foundation,Xi_an_Tower,2021-06-30,Shaft_Collapse,Medium_Plastic_Clay,Illite-Montmorillonite,29.8,56.5,39.2,42.8,3.1,8.5,7.0-14.0,NA,3.8,0.52,Caisson_Foundation,Open_Caisson,22.0,Bentonite_Slurry,5.5,NA,Severe,182.0,2.9,0.38,NA,Yes,Tremie_Concrete,Support failure during construction
CF017,Excavation_Support,Zhengzhou_Development,2021-11-14,Strut_Failure,Soft_Clay,Montmorillonite-Illite,37.8,63.2,43.8,30.5,4.5,11.0,9.0-16.5,NA,2.2,0.58,Office_Tower,Braced_Excavation,18.0,Support_Overload,6.8,NA,Severe,202.0,3.7,0.46,105.0,No,Emergency_Props,Strut buckling observed
CF018,Coastal_Levee,Ningbo_Seawall,2022-01-28,Slope_Failure,Marine_Clay,Montmorillonite,41.5,68.8,47.5,24.5,5.5,6.5,6.0-11.5,20.0,0.8,0.64,Coastal_Protection,Rock_Fill,3.0,Wave_Action,12.5,NA,Moderate,212.0,4.1,0.52,NA,Yes,Revetment,Toe erosion initiated failure
CF019,Railway_Embankment,Lanzhou_Corridor,2022-05-15,Slope_Failure,Stiff_Clay,Illite,21.5,46.8,33.5,62.8,2.3,5.5,5.0-9.5,18.5,8.8,0.36,Railway_Fill,Geogrid_Reinforced,5.5,Freeze_Thaw,6.8,NA,Minor,155.0,2.2,0.26,NA,No,Drainage,Seasonal effects significant
CF020,Underground_Station,Chengdu_Transit,2022-09-08,Basal_Heave,Very_Soft_Clay,Montmorillonite-Smectite,50.8,82.8,59.5,17.2,7.8,14.5,11.5-21.0,NA,3.2,0.75,Transit_Station,Diaphragm_Wall,22.0,Deep_Excavation,5.2,NA,Moderate,255.0,5.0,0.65,135.0,Yes,Ground_Freezing,Temporary ground freezing applied
CF021,Bridge_Approach,Fuzhou_River_Crossing,2022-12-22,Lateral_Spreading,Soft_Clay,Montmorillonite-Illite,39.5,64.5,45.5,28.8,4.6,8.0,7.0-13.5,15.0,1.2,0.61,Bridge_Abutment,Pile_Foundation,16.0,Seismic_Loading,4.5,2.5,Moderate,198.0,3.6,0.48,NA,Yes,Soil_Improvement,Liquefaction-induced lateral flow
CF022,Shopping_Mall,Hefei_Downtown,2023-03-12,Foundation_Settlement,Compressible_Clay,Illite-Montmorillonite,31.2,57.5,39.8,40.5,3.3,NA,NA,NA,6.2,0.46,Retail_Complex,Raft_Foundation,4.5,Construction_Load,0.78,3.2,Moderate,185.0,3.0,0.38,85.0,No,Grouting,Time-dependent consolidation
CF023,Mountain_Road,Tibet_Highway,2023-07-28,Debris_Slide,Weathered_Clay,Illite-Kaolinite,18.8,40.5,30.2,72.5,1.9,4.5,4.0-8.0,42.0,9.5,0.32,Mountain_Road,NA,NA,Intense_Rainfall,15.5,NA,Complete,142.0,1.9,0.22,NA,Yes,Barriers,Rapid failure during storm
CF024,Parking_Structure,Qingdao_Coastal,2023-11-15,Punching_Failure,Medium_Clay,Illite-Montmorillonite,27.5,53.8,37.5,46.8,2.9,NA,NA,NA,4.8,0.44,Underground_Parking,Pad_Foundation,3.8,Vehicle_Loading,0.95,5.5,Severe,175.0,2.7,0.34,72.0,No,Column_Addition,Local failure at columns
CF025,Levee_System,Dongting_Lake,2024-02-05,Slope_Failure,Soft_Clay,Montmorillonite,43.2,70.5,49.2,23.5,5.6,7.0,6.5-12.5,22.5,1.2,0.66,Flood_Control,Compacted_Fill,2.8,Prolonged_Flooding,14.2,NA,Severe,215.0,4.2,0.54,NA,Yes,Sheet_Piles,Internal erosion detected
CF026,Industrial_Building,Taiyuan_Zone,2024-06-18,Bearing_Failure,Stiff_Clay,Illite,20.5,44.8,32.8,65.5,2.2,NA,NA,NA,9.2,0.34,Factory_Building,Spread_Footing,2.5,Equipment_Load,0.52,2.2,Moderate,152.0,2.1,0.24,48.0,No,Footing_Extension,Inadequate design capacity
CF027,Expressway_Cut,Kunming_Bypass,2024-10-02,Slope_Failure,Fissured_Clay,Illite,23.8,49.5,34.8,55.8,2.5,6.5,6.0-11.0,28.0,6.8,0.39,Highway_Slope,Anchored_Wall,7.0,Seepage,9.5,NA,Moderate,165.0,2.3,0.29,NA,No,Additional_Anchors,Progressive fissure opening
CF028,Metro_Shaft,Shenzhen_Extension,2025-01-20,Invert_Heave,Soft_Clay,Montmorillonite-Illite,38.8,63.8,44.2,29.8,4.6,10.5,8.5-16.0,NA,2.5,0.59,Ventilation_Shaft,Circular_Shaft,25.0,Unloading,4.8,NA,Moderate,205.0,3.8,0.47,115.0,No,Base_Slab,High swelling potential
CF029,Residential_Tower,Changsha_New_District,2025-04-08,Settlement,Normally_Consolidated_Clay,Illite-Montmorillonite,30.5,56.8,39.5,41.8,3.2,NA,NA,NA,5.8,0.47,High_Rise,Pile_Group,18.0,Building_Load,0.68,2.8,Moderate,188.0,3.0,0.37,92.0,No,Load_Transfer,Negative skin friction observed
CF030,Dam_Embankment,Qinghai_Reservoir,2025-07-25,Internal_Erosion,Low_Plasticity_Clay,Illite-Kaolinite,16.5,38.2,28.5,78.5,1.8,8.5,7.0-15.0,18.0,12.5,0.30,Earth_Dam,Clay_Core,12.0,Seepage,2.5,NA,Moderate,138.0,1.8,0.20,NA,Yes,Grouting_Curtain,Piping through foundation
