Site_ID,Location,Depth_to_Groundwater_m,Soil_Type,Depth_m,Hydraulic_Head_m,Total_Pore_Pressure_kPa,Hydrostatic_Pressure_kPa,Excess_Pore_Pressure_kPa,Pore_Pressure_Ratio,Permeability_m_s,Flow_Direction,Hydraulic_Gradient,Seepage_Velocity_m_day,Coefficient_of_Consolidation_m2_yr,Time_Factor,Degree_of_Consolidation_percent,Artesian_Condition,Seasonal_Variation_m,Remarks
GW025,Jiangxi_Valley,2.0,Sandy_Soil,4.8,2.5,47.0,27.5,19.5,0.38,3.8e-4,Downward,0.17,0.056,NA,NA,NA,No,0.9,Hilly terrain drainage
GW026,Guangxi_Basin,1.8,Clay_Soil,6.5,2.3,73.5,47.0,26.5,0.53,2.9e-9,Upward,0.09,7.6e-6,1.85,0.40,64.2,Yes,0.8,Subtropical monsoon climate
GW027,Chongqing_Hilly,3.5,Sandy_Soil,6.0,4.0,58.8,24.5,34.3,0.34,4.6e-4,Horizontal,0.12,0.048,NA,NA,NA,No,1.4,Complex topography
GW028,Tibet_Valley,4.8,Sandy_Soil,7.5,5.5,73.5,26.5,47.0,0.28,3.8e-4,Downward,0.10,0.033,NA,NA,NA,No,2.2,High altitude conditions
GW029,Henan_Plain,2.8,Sandy_Soil,5.5,3.2,53.9,26.5,27.4,0.37,3.3e-4,Horizontal,0.15,0.043,NA,NA,NA,No,1.2,Agricultural plain
GW030,Yellow_River_Delta,1.2,Clay_Soil,11.5,1.8,122.5,98.0,24.5,0.61,7.2e-10,Upward,0.11,2.3e-6,0.85,0.58,78.5,Yes,0.5,Extra sensitive clay zone
GW031,Nanjing_Valley,2.5,Sandy_Soil,5.2,3.0,51.0,26.5,24.5,0.36,3.8e-4,Downward,0.16,0.053,NA,NA,NA,No,1.0,Yangtze River influence
GW032,Hangzhou_Basin,1.8,Clay_Soil,7.8,2.3,86.2,58.8,27.4,0.55,1.5e-9,Upward,0.10,4.3e-6,1.45,0.50,71.2,Yes,0.7,Bay area subsidence
GW033,Suzhou_Industrial,2.0,Sandy_Soil,4.5,2.5,44.1,24.5,19.6,0.39,4.3e-4,Horizontal,0.18,0.067,NA,NA,NA,No,0.9,Urbanization impact
GW034,Ningbo_Coastal,1.5,Clay_Soil,6.8,2.0,76.4,51.9,24.5,0.54,2.0e-9,Upward,0.09,5.2e-6,1.85,0.43,66.5,Yes,0.6,Coastal subsidence zone
GW035,Wenzhou_Coast,1.2,Sandy_Soil,5.5,1.8,53.9,42.2,11.7,0.43,2.8e-4,Horizontal,0.22,0.053,NA,NA,NA,No,0.8,Reclaimed land area
GW036,Dalian_Harbor,1.8,Clay_Soil,8.5,2.3,93.1,65.7,27.4,0.58,1.1e-9,Upward,0.10,3.2e-6,1.35,0.55,74.8,Yes,0.7,Harbor construction impact
GW037,Changchun_Plain,3.5,Sandy_Soil,6.5,4.0,63.7,29.4,34.3,0.35,3.6e-4,Downward,0.14,0.044,NA,NA,NA,No,1.4,Northeast plain aquifer
GW038,Hohhot_Basin,4.5,Sandy_Soil,7.5,5.0,73.5,29.4,44.1,0.29,3.5e-4,Horizontal,0.11,0.033,NA,NA,NA,No,1.7,Semi-arid climate
GW039,Lhasa_Valley,5.5,Sandy_Soil,8.5,6.2,83.3,29.4,53.9,0.26,3.8e-4,Downward,0.09,0.030,NA,NA,NA,No,2.0,Tibetan plateau conditions
GW040,Urumqi_Basin,6.5,Sandy_Soil,9.0,7.0,88.2,24.5,63.7,0.24,3.3e-4,Horizontal,0.08,0.023,NA,NA,NA,No,2.2,Arid continental climate
