measure_id,measure_name,maintenance_schedule_type,maintenance_frequency_years,routine_maintenance_cost_usd_per_year,major_maintenance_interval_years,major_maintenance_cost_usd,expected_replacement_year,degradation_type,degradation_rate_percent_per_year,performance_warranty_years,labor_hours_per_maintenance,required_certifications,downtime_hours_per_maintenance,failure_rate_percent_per_year,emergency_repair_cost_usd,reliability_score,maintainability_score,criticality_level,spare_parts_cost_usd_per_year,monitoring_requirements,inspection_frequency_years,regulatory_compliance_required,environmental_conditions_sensitivity
RM035,Advanced Power Strips,Annual,1,12,5,45,8,Linear,0.8,3,0.5,None,0,2.0,65,0.85,0.95,Low,5,None,1,None,Minimal
RM036,ENERGY STAR Appliances,Annual,1,120,5,550,12,S-Curve,1.5,5,2,Appliance technician,3,2.5,850,0.80,0.75,Low,65,Standard appliance maintenance,1,Safety standards,Varies by appliance type
RM037,Building Management System (BMS) Upgrade,Monthly,0.083,1200,3,8500,15,Linear,2.0,5,16,BAS technician; IT,8,2.5,5500,0.82,0.70,Critical,850,Continuous monitoring; cybersecurity,0.083,Building code; data privacy,Software updates; network security
RM038,IoT Sensor Network,Quarterly,0.25,385,3,1850,10,Linear,1.5,5,8,IT; controls technician,4,3.0,2500,0.80,0.78,High,285,Network health; sensor calibration,0.25,Data privacy; cybersecurity,Battery replacement; connectivity
RM039,AI-Based Predictive Controls,Quarterly,0.25,850,2,3500,10,Linear,1.0,3,12,Data scientist; BAS tech,6,2.0,4500,0.85,0.72,High,650,Model retraining; data quality,0.25,Data privacy,Requires continuous data feed
RM040,External Shading Devices - Fixed,Periodic Inspection,5,45,15,450,30,Linear,0.3,20,2,None,0,0.5,650,0.95,0.92,Low,15,Visual inspection,5,Building code,Corrosion in coastal areas
RM041,External Shading Devices - Dynamic,Quarterly,0.25,285,5,1200,20,S-Curve,1.5,10,6,Controls technician,3,2.5,1850,0.82,0.75,Medium,185,Motor function; control calibration,0.25,Building code,Motor and control failures
RM042,Foundation Insulation - 2in XPS,Periodic Inspection,10,0,25,0,50,Linear,0.2,30,0,None,0,0.1,850,0.98,0.95,Low,0,None,10,Building code,Moisture and insect damage
RM043,Foundation Insulation - 4in XPS,Periodic Inspection,10,0,25,0,50,Linear,0.2,30,0,None,0,0.1,1200,0.98,0.95,Low,0,None,10,Building code,Moisture and insect damage
RM044,Natural Ventilation Enhancement,Annual,1,85,10,650,25,Linear,0.5,15,3,None,0,1.5,850,0.90,0.88,Low,35,Operable window function,1,Building code,Control integration issues
RM045,Mixed-Mode Ventilation System,Quarterly,0.25,285,5,1500,20,S-Curve,1.2,10,8,HVAC certified; controls,4,2.0,2200,0.86,0.78,Medium,150,Control logic; sensor calibration,0.25,Building code; IAQ,Complex mode switching
RM046,Phase Change Material (PCM) Integration,Periodic Inspection,5,0,15,850,25,Linear,1.0,15,2,None,0,0.8,1500,0.88,0.82,Low,0,Thermal performance check,5,Building code,Cycling degradation
RM047,District Heating Connection,Annual,1,650,5,2500,30,Linear,0.5,15,8,Mechanical engineer,6,1.5,4500,0.90,0.75,High,385,Heat exchanger; control valves,1,Utility; building code,Water quality; supply reliability
RM048,District Cooling Connection,Annual,1,750,5,2850,30,Linear,0.5,15,8,Mechanical engineer,6,1.5,5000,0.90,0.75,High,425,Heat exchanger; control valves,1,Utility; building code,Water quality; supply reliability
RM049,Elevator Regenerative Drives,Annual,1,450,5,2200,20,Linear,1.0,10,8,Elevator technician,8,2.0,3500,0.88,0.80,Medium,285,Power electronics; braking system,1,Elevator code,High usage affects life
RM050,Elevator Modernization - Energy Efficient,Semi-Annual,0.5,850,5,5500,25,S-Curve,1.2,10,12,Elevator technician,12,1.8,6500,0.90,0.78,High,485,Full elevator maintenance,0.5,Elevator code; ADA,Requires periodic code updates
